Bruges,FR,5.01,-0.99
city,country,temp_max,temp_min
Tresses,FR,6.21,-1.27
city,country,temp_max,temp_min
Lacanau,FR,5.03,-0.97
city,country,temp_max,temp_min
Arrondissement d'Épinal,FR,3.62,0.44
city,country,temp_max,temp_min
Gavray,FR,6.42,5.14
city,country,temp_max,temp_min
Baron-sur-Odon,FR,6.42,5.94
city,country,temp_max,temp_min
Arrondissement de Nontron,FR,8.8,2
city,country,temp_max,temp_min
Biguglia,FR,9.79,5.81
city,country,temp_max,temp_min
Rots,FR,6.6,6.13
city,country,temp_max,temp_min
Arrondissement d'Ajaccio,FR,4.03,3.27
city,country,temp_max,temp_min
Crépy-en-Valois,FR,5.24,3.39
city,country,temp_max,temp_min
Virelade,FR,6.55,-0.92
city,country,temp_max,temp_min
Châteauneuf-les-Martigues,FR,11.96,-3.03
city,country,temp_max,temp_min
Castandet,FR,5.7,0.8
city,country,temp_max,temp_min
Saint-Laurent-du-Var,FR,12.41,8.48
city,country,temp_max,temp_min
Vienne,FR,3.56,0.02
city,country,temp_max,temp_min
Bonneuil-en-France,FR,5.55,3.27
city,country,temp_max,temp_min
Wittenheim,FR,4.3,-0.26
city,country,temp_max,temp_min
Vallauris,FR,12.15,3.24
city,country,temp_max,temp_min
Sin-le-Noble,FR,7.21,5.25
city,country,temp_max,temp_min
Sens,FR,3.95,1.31
city,country,temp_max,temp_min
Saint-Priest,FR,3.23,-1.02
city,country,temp_max,temp_min
Saint-Pol-sur-Mer,FR,7.3,5.99
city,country,temp_max,temp_min
Saint-Pierre-des-Corps,FR,4.36,3.57
city,country,temp_max,temp_min
Saint-Pierre-des-Corps,FR,4.36,3.57
city,country,temp_max,temp_min
Saint-Maximin-la-Sainte-Baume,FR,10.81,-2.56
city,country,temp_max,temp_min
Saint-Martin-d'Hères,FR,6.1,-0.76
city,country,temp_max,temp_min
Saint-Jean-de-la-Ruelle,FR,3.64,1.06
city,country,temp_max,temp_min
Saint-Jean-de-Braye,FR,3.32,1.1
city,country,temp_max,temp_min
Saint-Jean-de-Braye,FR,3.28,1.07
city,country,temp_max,temp_min
Saint-Fons,FR,3.42,-0.83
city,country,temp_max,temp_min
Saintes,FR,3.68,2.03
city,country,temp_max,temp_min
Sainte-Foy-lès-Lyon,FR,2.75,-1.5
city,country,temp_max,temp_min
Saint Egreve,FR,6.1,-0.76
city,country,temp_max,temp_min
Saint-Dié-des-Vosges,FR,4.16,-0.76
city,country,temp_max,temp_min
Saint-Cyr-sur-Loire,FR,4.14,3.36
city,country,temp_max,temp_min
Saint-Amand-les-Eaux,FR,7.2,5.19
city,country,temp_max,temp_min
Pontivy,FR,7.2,4.63
city,country,temp_max,temp_min
Ploemeur,FR,7.68,5.64
city,country,temp_max,temp_min
Pertuis,FR,11.36,-4.17
city,country,temp_max,temp_min
Palaiseau,FR,5.35,3.02
city,country,temp_max,temp_min
Outreau,FR,7.97,6.32
city,country,temp_max,temp_min
Oullins,FR,3.4,-0.85
city,country,temp_max,temp_min
Cherbourg-en-Cotentin,FR,7.84,6.49
city,country,temp_max,temp_min
Octeville,FR,7.27,5.92
city,country,temp_max,temp_min
Noyon,FR,6.36,3.66
city,country,temp_max,temp_min
Noyon,FR,6.36,3.66
city,country,temp_max,temp_min
Niort,FR,3.58,2.45
city,country,temp_max,temp_min
Morlaix,FR,8.42,6.57
city,country,temp_max,temp_min
Montivilliers,FR,6.79,6.31
city,country,temp_max,temp_min
Montigny-lès-Metz,FR,6.19,2.86
city,country,temp_max,temp_min
Millau,FR,4.38,4.38
city,country,temp_max,temp_min
Meyzieu,FR,4.21,-0.99
city,country,temp_max,temp_min
Meylan,FR,5.72,-1.14
city,country,temp_max,temp_min
Mayenne,FR,4.95,4.95
city,country,temp_max,temp_min
Mauguio,FR,5.93,2.94
city,country,temp_max,temp_min
Lucé,FR,5.39,1.75
city,country,temp_max,temp_min
Louviers,FR,6.45,4
city,country,temp_max,temp_min
Lingolsheim,FR,3.89,-2.05
city,country,temp_max,temp_min
Les Herbiers,FR,5.44,2.84
city,country,temp_max,temp_min
